# Table #1: Deprecated LIDs.
# Feel free to add other tables, but fix bundle.xml
#
# Table of Deprecated LIDs (some secretly changed up to 2020.02.13, soho.lasco)
# 2019.11.18 instID.scID -> scID.instID for p8, p9
# 2020.06.17 grav.jno -> jno.rss, which should probably be rss.jno for consistency. oh well
# 2020.07.23 + -> _ for a few stars; validate had incorrectly allowed +
# 2021.02.24 instID.scID -> scID.instID for instruments with no known lid_references
# 2021.02.24 urn:nasa:pds -> urn:esa:psa for ESA's stuff
# 2021.06.21 instrument:grs.ody -> instrument:ody.grs and .hend and .ns
#deprecatedLID,dateOfReplacement,replacementLID
urn:nasa:pds:context:instrument:rss.mo	2021-02-24	urn:nasa:pds:context:instrument:mo.rss
urn:nasa:pds:context:instrument:rss.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.rss
urn:nasa:pds:context:instrument:sce.uly	2021-02-24	urn:esa:psa:context:instrument:uly.sce
urn:nasa:pds:context:instrument:sdc.nh	2021-02-24	urn:nasa:pds:context:instrument:nh.sdc
urn:nasa:pds:context:instrument:sow.sakig	2021-02-24	urn:nasa:pds:context:instrument:sakig.sow
urn:nasa:pds:context:instrument:sp1.vega1	2021-02-24	urn:nasa:pds:context:instrument:vega1.sp1
urn:nasa:pds:context:instrument:sp1.vega2	2021-02-24	urn:nasa:pds:context:instrument:vega2.sp1
urn:nasa:pds:context:instrument:sp2.vega1	2021-02-24	urn:nasa:pds:context:instrument:vega1.sp2
urn:nasa:pds:context:instrument:sp2.vega2	2021-02-24	urn:nasa:pds:context:instrument:vega2.sp2
urn:nasa:pds:context:instrument:spicam.mex	2021-02-24	urn:esa:psa:context:instrument:mex.spicam
urn:nasa:pds:context:instrument:spirit3.msx	2021-02-24	urn:nasa:pds:context:instrument:msx.spirit3
urn:nasa:pds:context:instrument:src.sdu	2021-02-24	urn:nasa:pds:context:instrument:sdu.src
urn:nasa:pds:context:instrument:ssd.go	2021-02-24	urn:nasa:pds:context:instrument:go.ssd
urn:nasa:pds:context:instrument:ssi.go	2021-02-24	urn:nasa:pds:context:instrument:go.ssi
urn:nasa:pds:context:instrument:ssp.hp	2021-02-24	urn:esa:psa:context:instrument:hp.ssp
urn:nasa:pds:context:instrument:swap.nh	2021-02-24	urn:nasa:pds:context:instrument:nh.swap
urn:nasa:pds:context:instrument:swics.uly	2021-02-24	urn:esa:psa:context:instrument:uly.swics
urn:nasa:pds:context:instrument:swoops.uly	2021-02-24	urn:esa:psa:context:instrument:uly.swoops
urn:nasa:pds:context:instrument:swp.ice	2021-02-24	urn:nasa:pds:context:instrument:ice.swp
urn:nasa:pds:context:instrument:swp.iue	2021-02-24	urn:esa:psa:context:instrument:iue.swp
urn:nasa:pds:context:instrument:telescope.spex.irtf3m0	2021-12-07	urn:nasa:pds:context:instrument:irtf-maunakea.3m2.spex
urn:nasa:pds:context:instrument:tnm.vega1	2021-02-24	urn:nasa:pds:context:instrument:vega1.tnm
urn:nasa:pds:context:instrument:tvs.vega1	2021-02-24	urn:nasa:pds:context:instrument:vega1.tvs
urn:nasa:pds:context:instrument:tvs.vega2	2021-02-24	urn:nasa:pds:context:instrument:vega2.tvs
urn:nasa:pds:context:instrument:udds.uly	2021-02-24	urn:esa:psa:context:instrument:uly.udds
urn:nasa:pds:context:instrument:uleca.ice	2021-02-24	urn:nasa:pds:context:instrument:ice.uleca
urn:nasa:pds:context:instrument:urap.uly	2021-02-24	urn:esa:psa:context:instrument:uly.urap
urn:nasa:pds:context:instrument:uvs.go	2021-02-24	urn:nasa:pds:context:instrument:go.uvs
urn:nasa:pds:context:instrument:uvs.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.uvs
urn:nasa:pds:context:instrument:uvs.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.uvs
urn:nasa:pds:context:instrument:uvvis.clem1	2021-02-24	urn:nasa:pds:context:instrument:clem1.uvvis
